"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"Eastern Buffer","ES2","1989-07-03","1","Bulk Sample","42","N/A","3.5","1.1","72","N/A","270","470","<0","0.6","N/A","N/A","N/A","35","14","N/A","0.18","310","37","12000","N/A","N/A","N/A","-223","0.72","N/A","31","N/A","17","9500","0.2","12","N/A","N/A","N/A","N/A","N/A","N/A","3.3","N/A","0.11","N/A","N/A","N/A"
"Eastern Buffer","ES2","1990-07-06","1","Bulk Sample","44","N/A","5.5","0.1","77","N/A","840","410","<0","1.3","N/A","N/A","N/A","38","9","N/A","0.06","290","24","11000","N/A","N/A","N/A","-463","0.55","N/A","42","N/A","21","84000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","N/A","7.3","7600","N/A","N/A"
"Eastern Buffer","ES2","1991-07-05","1","Bulk Sample","37","N/A","10","<0","72","N/A","360","790","<0","0.8","N/A","N/A","N/A","1","6","N/A","0.15","220","26","7800","N/A","N/A","N/A","-72","0.72","N/A","38","N/A","18","9100","1.3","36","N/A","N/A","N/A","N/A","N/A","N/A","2.5","N/A","9.31","5400","N/A","N/A"
"Eastern Buffer","ES2","1992-07-03","1","Bulk Sample","28","N/A","2.5","0.3","72","N/A","123","217","<0.1","0.7","N/A","N/A","N/A","14","9","N/A","0.1","170","37","11000","N/A","N/A","N/A","-52","0.72","N/A","9","N/A","20","4900","<0.5","15","N/A","N/A","N/A","N/A","N/A","N/A","2.8","N/A","0.5","6300","N/A","N/A"
"Eastern Buffer","ES2","1992-09-02","1","Bulk Sample","79","N/A","7.5","0.6","35","N/A","191","370","<0.1","0.5","N/A","N/A","N/A","98","28","N/A","0.14","540","52","31000","N/A","N/A","N/A","-99","0.35","N/A","31","N/A","42","7800","<0.5","39","N/A","N/A","N/A","N/A","N/A","N/A","8.7","N/A","1.2","21000","N/A","N/A"
"Eastern Buffer","ES2","1992-11-12","1","Bulk Sample","43","N/A","5.3","1.5","70","N/A","120","260","N/A","1","N/A","N/A","N/A","24","9","N/A","0.07","420","18","13000","N/A","N/A","N/A","-110","0.67","N/A","16","N/A","7","6200","<0.5","16","N/A","N/A","N/A","N/A","N/A","N/A","5","N/A","1.5","11000","N/A","N/A"
"Eastern Buffer","ES2","1993-01-18","1","Bulk Sample","68","N/A","6.3","11","47","N/A","230","430","<0.1","0.7","N/A","N/A","N/A","92","20","N/A","<0.11","460","28","28000","N/A","N/A","N/A","-198","0.47","N/A","25","N/A","30","12000","<0.5","24","N/A","N/A","N/A","N/A","N/A","N/A","7.4","N/A","13.3","20000","N/A","N/A"
"Eastern Buffer","ES2","1993-03-08","1","Bulk Sample","88","N/A","7","13","40","N/A","320","240","<0.1","0.4","N/A","N/A","N/A","93","29","N/A","0.15","490","29","31000","N/A","N/A","N/A","-111","0.4","N/A","29","N/A","42","11000","<0.5","28","N/A","N/A","N/A","N/A","N/A","N/A","7","N/A","12.2","20000","N/A","N/A"
"Eastern Buffer","ES2","1993-05-03","1","Bulk Sample","94","N/A","6.7","1.5","40","N/A","260","380","<0.1","0.6","N/A","N/A","N/A","97","31","N/A","<0.1","610","32","35000","N/A","N/A","N/A","-121","0.4","N/A","32","N/A","49","13000","<0.5","26","N/A","N/A","N/A","N/A","N/A","N/A","8.3","N/A","5.19","23000","N/A","N/A"
"Eastern Buffer","ES2","1994-03-02","1","Bulk Sample","75","N/A","7.3","9.7","44","N/A","160","320","<0.1","0.5","N/A","N/A","N/A","84","21","N/A","<0.11","500","25","28000","N/A","N/A","N/A","-90","0.44","N/A","20","N/A","30","11000","<0.1","23","N/A","N/A","N/A","N/A","N/A","N/A","9.1","N/A","4.82","18000","N/A","N/A"
"Eastern Buffer","ES2","1994-07-04","1","Bulk Sample","70","N/A","7.1","50","54","N/A","200","430","<0.1","1.3","N/A","N/A","N/A","70","20","N/A","<0.09","490","26","28000","N/A","N/A","N/A","-173","0.54","N/A","26","N/A","30","12000","<0.1","24","N/A","N/A","N/A","N/A","N/A","N/A","9.4","N/A","18","18000","N/A","N/A"
"Eastern Buffer","ES2","1995-01-04","1","Bulk Sample","81","N/A","5.3","12","55","N/A","210","350","<0.1","0.5","N/A","N/A","N/A","87","22","N/A","<0.09","490","21","30000","N/A","N/A","N/A","-100","0.54","N/A","24","N/A","33","13000","<0.1","27","N/A","N/A","N/A","N/A","N/A","N/A","8.4","N/A","10","20000","N/A","N/A"
"Eastern Buffer","ES2","1995-08-03","1","Bulk Sample","67","27","5.6","1.2","50","N/A","160","500","<0.1","0.6","N/A","N/A","N/A","78","17","N/A","<0.09","410","31","25000","N/A","N/A","N/A","-196","0.53","N/A","23","N/A","26","12000","<0.1","22","N/A","N/A","N/A","N/A","N/A","21","8.5","N/A","5.9","17000","N/A","N/A"
"Eastern Buffer","ES2","1996-01-02","1","Bulk Sample","72","29","7.5","19","40","N/A","170","660","<0.1","0.5","N/A","N/A","N/A","87","19","N/A","<0.12","480","27","27000","N/A","N/A","N/A","-125","0.42","N/A","24","N/A","29","8200","<0.1","30","N/A","N/A","N/A","N/A","N/A","24","7.9","N/A","34","18000","N/A","N/A"
"Eastern Buffer","ES2","1996-07-01","1","Bulk Sample","72","29","5.7","31","55","N/A","150","330","<0.1","0.7","N/A","N/A","N/A","64","22","N/A","0.08","450","24","27000","N/A","N/A","N/A","-183","0.51","N/A","24","N/A","32","10000","<0.1","28","N/A","N/A","N/A","N/A","N/A","25","8.4","N/A","13","22000","N/A","N/A"
"Eastern Buffer","ES2","1997-01-02","1","Bulk Sample","83","29","6.3","110","53","N/A","230","320","<0.1","0.8","<1","<5","<5","61","20","N/A","0.13","440","31","26000","N/A","<10","<5","-285","0.47","N/A","56","13","33","14000","0.1","26","2","3","<1","<1","N/A","27","8.1","<5","8.5","23000","N/A","N/A"
"Eastern Buffer","ES2","1997-09-08","1","Bulk Sample","100","42","8.4","9.4","50","N/A","180","410","<0.1","0.8","<1","<5","<5","95","27","N/A","0.11","810","43","37000","<5","<10","<5","-235","0.49","<5","36","<5","42","13000","<0.1","36","2","6","4","3","<10","37","8.5","<5","22","38000","<250","<100"
"Eastern Buffer","ES2","1997-11-03","1","Bulk Sample","68","25","6.1","61","54","N/A","200","370","<0.1","0.8","<1","<5","<5","73","16","N/A","0.1","400","28","23000","<5","<10","<5","-302","0.6","<5","29","<5","25","11000","<0.1","22","2","3","2","2","<10","27","7.8","<5","5.9","20000","<250","<100"
"Eastern Buffer","ES2","1998-01-05","1","Bulk Sample","80","31","6.7","2.7","51","N/A","150","330","<0.1","0.7","<1","<5","<5","77","19","N/A","0.09","460","31","28000","5","<10","<5","-540","0.53","<5","31","5","31","10000","<0.1","24","4","6","11","5","<10","32","7.4","<5","4.9","24000","<250","<100"
"Eastern Buffer","ES2","1998-08-06","1","Bulk Sample","63","26","5.8","11","60","N/A","170","300","<0.1","0.9","<1","<5","<5","76","16","N/A","0.07","430","24","25000","<5","<10","5","-213","0.55","<5","17","<5","24","14000","<0.1","22","2","5","2","2","<10","23","6.4","<5","6.1","21000","<250","<100"
"Eastern Buffer","ES2","1999-01-29","1","Bulk Sample","64","16","4","2.3","70"," 29","130","230","<0.1","1.1","<1","<5","<5","37","13","N/A","0.07","360","21","18000","<5","<10"," 5","-26","0.69","<5","34","<5","20","10000","<0.1","18"," 2"," 7"," 4"," 4","<3","18","4.9","<5","2.1","15000","<50","<50"
"Eastern Buffer","ES2","1999-01-29","1","Seived Sample (<63 micrometer)","120","33","7.2","0.3","41"," 21","180","430","<0.1","0.6","1"," 20"," 6","37","21","N/A","0.24","540","44","34000"," 10","<10"," 13","-26","0.39","<5","76"," 6","43","9700","0.1","33"," 6"," 13"," 11"," 8"," 5","32","7.2"," 6","12","29000","<50","<50"
"Eastern Buffer","ES2","1999-08-09","1","Bulk Sample","110","39","6.8","67","46","7","200","500","0.1","0.7","<1","18","16","92","23","N/A","0.13","650","46","33000","14","<10","30","-127","0.44","<5","48","12","41","15000","<0.1","33","8","15","17","13","13","35","8.3","<5","8.9","33000","<50","<50"
"Eastern Buffer","ES2","1999-08-09","1","Seived Sample (<63 micrometer)","110","40","5.6","35","42","5","220","560","<0.1","0.6","1","10","11","92","34","N/A","0.11","680","46","34000","9","<10","18","-127","0.41","<5","50","6","69","14000","<0.1","35","5","7","10","7","6","36","8.4","<5","9.2","34000","<50","<50"
"Eastern Buffer","ES2","2000-01-03","1","Bulk Sample","88","34","7.6","98","44","6","220","500","<0.1","0.7","<1","6","5","90","18","N/A","0.07","650","33","29000","5","<10","14","-150","0.46","<5","37","5","34","13000","<0.1","27","4","4","8","5","5","37","7","<5","9.6","31000","<50","<50"
"Eastern Buffer","ES2","2000-01-03","1","Seived Sample (<63 micrometer)","100","41","7.5","6.1","42","<5","220","520","<0.1","0.7","<1","6","7","90","22","N/A","0.08","740","41","34000","6","<10","15","-150","0.41","<5","45","8","41","13000","<0.1","33","5","4","9","5","5","45","7.7","<5","10","37000","<50","<50"
"Eastern Buffer","ES2","2000-07-03","1","Bulk Sample","80","31","6.9","150","50","5","220","520","<0.1","0.5","1","6","<5","66","17","N/A","0.08","410","33","23000","<5","<10","11","-182","0.49","<5","48","<5","31","11000","<0.1","24","3","4","6","4","<3","33","6.6","<5","9.7","27000","<50","<50"
"Eastern Buffer","ES2","2000-07-03","1","Seived Sample (<63 micrometer)","110","44","8.8","95","38","<5","220","540","0.1","0.6","2","7","7","66","24","N/A","0.11","570","46","33000","6","<10","10","-182","0.4","<5","66","<5","46","12000","<0.1","34","3","6","8","5","<3","50","8.7","<5","9.9","39000","<50","<50"
"Eastern Buffer","ES2","2001-01-03","1","Bulk Sample","60","28","5.6","13","59","<5","130","260","0.2","0.5","<1","11","7","72","16","N/A","<0.05","380","24","22000","<5","<10","6","-107","0.6","<5","19","<5","25","11000","<0.1","22","2","4","5","3","<3","32","6","<5","2.3","24000","<50","<50"
"Eastern Buffer","ES2","2001-01-03","1","Seived Sample (<63 micrometer)","93","49","7.4","1.7","46","<5","170","340","0.1","0.5","<1","12","6","72","26","N/A","0.12","580","38","34000","<5","<10","6","-107","0.45","<5","33","<5","43","8700","<0.1","34","2","5","5","4","<3","53","8.8","<5","0.69","39000","<50","<50"
"Eastern Buffer","ES2","2001-07-04","1","Bulk Sample","85","34","6.9","33","51","<5","140","260","0.1","0.6","<1","6","<5","89","22","N/A","0.12","480","28","29000","6","<10","8","-192","0.53","<5","22","7","34","13000","<0.1","29","5","5","7","6","4","33","8.2","<5","2.9","30000","<50","<50"
"Eastern Buffer","ES2","2001-07-04","1","Seived Sample (<63 micrometer)","98","39","7.3","28","50","<5","140","260","0.1","0.7","<1","9","<5","89","27","N/A","0.07","550","32","33000","7","<10","8","-192","0.49","<5","29","<5","42","11000","<0.1","31","4","4","6","5","<3","40","8.8","<5","1.7","35000","<50","<50"
"Eastern Buffer","ES2","2002-01-28","1","Bulk Sample","74","32","4.7","27","57","18","230","370","0.1","0.8","<1","<5","<5","64","19","<60","0.06","460","27","25000","7","<10","5","-156","0.57","<5","24","5","28","12000","<0.1","22","3","5","4","4","<3","29","6.9","<5","7.8","24000","<50","<50"
"Eastern Buffer","ES2","2002-07-17","1","Bulk Sample","54","29","5.4","53","58","18","200","350","0.1","0.7","<1","5","<5","65","18","<60","0.06","450","26","23000","<5","<10","<5","-141","0.53","<5","22","<5","28","11000","<0.1","28","2","4","4","3","<3","32","5.6","<5","2.3","26000","<50","<50"
"Eastern Buffer","ES2","2003-01-02","1","Bulk Sample","71","30","5.1","27","62","18","170","270","<0.1","0.8","0","10","<5","61","20","<60","0.06","430","28","23000","<5","<10","5","-172","0.6","<5","22","<5","26","9200","<0.1","23","4","7","5","6","4","26","5.5","<5","9.1","23000","<50","<50"
"Eastern Buffer","ES2","2003-08-04","1","Bulk Sample","56","23","4.3","41","64","18","170","350","0.1","0.9","0","5","<5","15","14","<60","0.06","350","21","18000","<5","<10","<5","-202","0.56","<5","16","<5","20","8000","<0.1","20","2","3","4","4","<3","22","4.9","<5","4.5","18000","<50","<50"
"Eastern Buffer","ES2","2004-01-19","1","Bulk Sample","110","40","7.2","97","45","18","210","530","<0.1","0.7","1","19","6","92","25","<60","0.14","630","44","29000","14","<10","16","-123","0.41","<5","42","9","38","16000","<0.1","36","7","10","13","11","6","34","7.1","<5","9.4","33000","<50","<50"
"Eastern Buffer","ES2","2004-07-09","1","Bulk Sample","64","30","4.6","7","66","18","140","250","<0.1","0.7","<0","15","<5","61","16","<60","<0.05","400","21","21000","18","<10","14","-189","0.59","<5","19","16","26","21000","<0.1","24","8","12","13","20","13","28","5.6","<5","4.7","23000","<50","<50"
"Eastern Buffer","ES2","2005-02-02","1","Bulk Sample","88","33","6.8","180","51","18","210","540","<0.1","0.7","0","30","21","85","20","<60","0.09","580","35","26000","15","<10","44","-161","0.47","<5","26","17","29","14000","<0.1","25","11","17","17","21","13","33","6.5","<5","67","29000","<50","<50"
"Eastern Buffer","ES2","2005-08-01","1","Bulk Sample","89","28","6.4","15","54","18","180","380","<0.1","0.8","1","18","6","69","19","<60","0.1","540","39","24000","7","<10","14","-286","0.5","<5","32","7","30","14000","<0.1","25","5","12","9","9","7","30","6.5","<5","4.3","27000","<50","<50"
"Eastern Buffer","ES2","2006-01-03","1","Bulk Sample","120","37","7.9","41","38","18","210","590","<0.1","0.7","1","17","<5","98","27","<60","0.12","760","50","32000","11","<10","17","-194","0.34","<5","38","7","41","15000","<0.1","35","5","12","11","10","6","36","6.7","<5","13","35000","<50","<50"
"Eastern Buffer","ES2","2006-07-05","1","Bulk Sample","79","23","5.5","6.6","62","18","140","210","<0.1","0.9","0","<5","<5","83","19","<60","0.07","460","28","24000","<5","<10","<5","-125","0.51","<5","20","<5","26","11000","<0.1","24","1","3","3","3","<3","25","6.3","<5","2.9","22000","<50","<50"
"Eastern Buffer","ES2","2007-01-02","1","Bulk Sample","79","28","5.9","13","54","18","220","440","<0.1","0.7","0","6","<5","72","20","<60","0.07","470","31","23000","<5","<10","5","-120","0.53","<5","21","<5","26","12000","<0.1","24","2","4","5","5","<3","28","6.2","<5","1.7","26000","<50","<50"
"Eastern Buffer","ES2","2007-07-05","1","Bulk Sample","75","25","5.8","10","51","18","190","390","0.1","0.7","0","<5","<5","93","16","<60","0.05","400","26","22000","<5","<10","7","-185","0.54","<5","20","<5","25","12000","<0.1","21","2","5","4","4","<3","26","6.4","<5","0.45","21000","<50","<50"
"Eastern Buffer","ES2","2008-01-02","1","Bulk Sample","110","40","6.7","2.1","43","18","180","460","0.2","0.7","0","6","7","93","27","<60","0.09","720","40","32000","10","<10","16","-144","0.4","<5","29","6","40","14000","<0.1","33","6","13","8","10","8","41","6.7","<5","4.5","40000","<50","<50"
"Eastern Buffer","ES2","2008-07-03","1","Bulk Sample","56","24","4.6","0.6","61","18","150","290","0.2","0.6","<0","9","<5","55","15","<60","0.05","420","25","22000","6","<10","6","-152","0.58","<5","15","<5","22","12000","<0.1","19","3","8","5","5","3","19","8.9","<5","0.79","20000","<50","<50"
"Eastern Buffer","ES2","2009-01-02","1","Bulk Sample","50","17","4.8","1.5","61","18","180","350","<0.1","0.7","<0","<5","<5","68","12","<60","0.06","350","19","18000","<5","<10","<5","-120","0.62","<5","10","<5","19","8500","<0.1","18","1","4","3","3","<3","17","4.4","<5","1.7","16000","<50","<50"
"Eastern Buffer","ES2","2009-07-03","1","Bulk Sample","45","18","3.5","19","66","18","180","280","<0.1","0.6","<0","10","<5","73","12","<60","<0.05","350","19","17000","<5","<10","7","-222","0.65","<5","9","<5","18","6700","<0.1","15","2","6","4","4","3","19","4.6","<5","5","14000","<50","<50"
"Eastern Buffer","ES2","2010-01-22","1","Bulk Sample","120","18","6.3","1","54","18","210","360","<0.1","1.2","0","46","13","82","15","<60","0.17","460","38","25000","31","<10","28","-147","0.54","7","54","22","30","13000","0.2","21","18","43","33","42","26","25","7.3","<5","3","20000","<50","<50"
"Eastern Buffer","ES2","2010-07-02","1","Bulk Sample","40","16","4.7","5.5","62","18","170","300","<0.1","0.7","<0","<5","12","50","12","<60","<0.05","350","18","19000","<5","<10","<5","-102","0.63","<5","9","<5","17","10000","<0.1","16","2","6","5","4","<3","18","4.6","<5","3.2","15000","<50","<50"
"Eastern Buffer","ES2","2011-01-03","1","Bulk Sample","52","18","4.1","4.7","63","18","200","350","<0.1","0.8","<0","10","<5","52","13","<60","0.06","380","22","21000","8","<10","10","-117","0.6","<5","12","<5","20","9000","<0.1","18","3","8","7","7","6","19","4.9","<5","<0.05","18000","<50","<50"
"Eastern Buffer","ES2","2011-07-07","1","Bulk Sample","60","22","5.1","2.7","57","18","210","440","0.1","0.8","<0","10","8","61","17","<60","<0.05","470","25","25000","7","<10","11","-140","0.55","<5","12","6","23","7100","<0.1","22","4","7","8","9","7","23","6","<5","1.9","20000","<50","<50"
"Eastern Buffer","ES2","2012-01-09","1","Bulk Sample","55","24","5","27","59","18","210","420","<0.1","0.8","<0","6","<5","58","14","<60","<0.05","430","23","22000","6","<10","<5","-120","0.58","<5","13","<5","20","8200","<0.1","19","2","5","5","4","4","20","5.6","<5","4.2","19000","<50","<50"
"Eastern Buffer","ES2","2012-07-06","1","Bulk Sample","48","20","4.2","2.8","61","18","190","400","<0.1","0.8","<0","5","<5","41","12","<60","0.06","360","21","19000","<5","<10","11","-83","0.63","<5","12","<5","19","8100","<0.1","16","2","4","4","4","4","15","5.7","<5","19","13000","<50","<50"
"Eastern Buffer","ES2","2013-01-11","1","Bulk Sample","71","28","6","34","50","18","240","490","<0.1","0.9","0","44","30","74","18","<60","0.07","490","28","26000","16","<10","24","-141","0.52","6","16","10","25","7300","<0.1","20","12","23","19","20","13","24","6.3","<5","2.7","20000","<50","<50"
"Eastern Buffer","ES2","2013-07-25","1","Bulk Sample","73","30","6","47","51","18","220","480","<0.1","0.7","<0","8","12","74","19","<60","0.1","550","29","27000","<5","<10","7","-371","0.48","<5","18","<5","28","10000","<0.1","26","5","5","4","4","<3","26","6","<5","5.2","23000","<50","<50"
"Eastern Buffer","ES2","2014-03-03","1","Bulk Sample","68","24","8.5","38","55","18","230","460","<0.1","0.9","<0","9","12","63","14","<60","0.1","440","18","23000","9","<10","14","-225","0.47","<5","16","5","21","8900","<0.1","22","5","12","9","11","7","18","4.5","<5","1.1","18000","<50","<50"
"Eastern Buffer","ES2","2014-08-25","1","Bulk Sample","97","36","7.5","33","49","18","240","650","<0.1","1","<0","12","<5","74","31","87","0.07","700","33","34000","6","<10","7","-380","0.37","<5","25","<5","49","13000","<0.1","42","3","8","6","7","4","23","9.5","<5","8.1","26000","<50","<50"
"Eastern Buffer","ES2","2015-01-02","1","Bulk Sample","110","35","8.4","78","41","18","210","640","0.2","0.8","0","17","8","94","24","62","0.13","740","42","31000","11","<10","14","-339","0.38","<5","32","5","39","12000","<0.1","26","6","16","8","17","7","31","7.3","<5","9.4","26000","<50","<50"
"Eastern Buffer","ES2","2015-07-10","1","Bulk Sample","79","21","7.6","19","49","18","210","480","0.2","0.9","0","8","<5","79","16","<60","0.09","380","28","19000","6","<10","6","-290","0.51","<5","15","<5","26","8300","<0.1","17","4","7","5","6","<3","22","5.2","<5","3.2","16000","<50","<50"
"Eastern Buffer","ES2","2016-01-04","1","Bulk Sample","81","24","5.6","58","54","18","180","400","<0.1","0.6","<0","35","<5","55","18","<60","0.05","500","34","23000","<5","<10","6","-144","0.42","<5","14","<5","26","12000","<0.1","14","2","7","4","4","<3","25","4.9","<5","2","20000","<50","<50"
"Eastern Buffer","ES2","2016-07-04","1","Bulk Sample","63","22","5.8","26","60","18","210","420","<0.1","0.8","<0","26","5","44","16","<60","0.08","370","26","20000","<5","<10","<5","-153","0.56","<5","16","<5","22","9900","<0.1","15","2","6","3","3","<3","23","6","<5","2.8","16000","<50","<50"
"Eastern Buffer","ES2","2017-02-14","1","Bulk Sample","39","10","4.5","7.9","72","18","160","280","0.1","1","<0","<5","6","36","7","120","0.05","260","26","12000","<5","<10","6","-329","0.65","<5","9","<5","11","8900","<0.1","8","2","7","5","5","<3","14","4.4","<5","0.09","10000","<50","<50"
"Eastern Buffer","ES2","2017-08-29","1","Bulk Sample","79","32","8","22","46","18","200","700","0.1","0.6","<0","13","6","N/A","21","<60","0.09","710","36","30000","13","<10","12","-366","0.43","<5","23","<5","31","12000","<0.1","17","5","11","8","9","5","26","8","<5","2.3","28000","<50","<50"
"Eastern Buffer","ES2","2018-02-12","1","Bulk Sample","58","13","6.2","44","62","18","180","390","0.1","1.1","<0","10","<5","68","10","<60","0.06","340","33","17000","6","<10","7","-153","0.6","<5","13","<5","16","11000","<0.1","10","3","8","6","7","3","16","4.4","<5","1.6","17000","<50","<50"
"Eastern Buffer","ES2","2018-08-22","1","Bulk Sample","73","23","7.2","53","51","18","230","470","0.1","0.7","<0","31","7","81","16","<60","0.1","510","33","24000","15","<10","31","-175","0.51","<5","18","14","24","12000","<0.1","19","11","19","13","23","18","23","5.6","<5","0.27","31000","<50","<50"
"Eastern Buffer","ES2","2019-01-28","1","Bulk Sample","110","35","7.9","3.1","46","18","230","640","0.1","0.6","0","10","<5","92","23","<60","0.12","640","39","30000","9","<10","10","-127","0.43","<5","27","<5","34","13000","<0.1","20","5","13","8","11","6","31","9.4","<5","4.9","27000","<50","<50"
"Eastern Buffer","ES2","2019-07-23","1","Bulk Sample","30","9","3.9","<0.2","73","18","140","350","<0.1","2.5","<0","<5","<5","61","6","<60","<0.05","270","15","9000","<5","<10","<5","-152","0.74","<5","5","<5","8","6400","<0.1","10","<1","3","1","2","<3","11","3.6","<5","8.8","6000","<50","<50"
"Eastern Buffer","ES2","2020-01-22","1","Bulk Sample","58","15","3.8","10","67","18","170","340","0.1","0.7","<0","<5","<5","10","11","<60","0.09","320","21","16000","<5","<10","<5","-124","0.62","<5","15","<5","16","8900","<0.1","13","<1","2","<1","<1","<3","13","4.9","<5","29","14000","<50","<50"
"Eastern Buffer","ES2","2020-09-26","1","Bulk Sample","140","20","6","83","47","18","170","500","0.1","0.6","1","22","7","98","14","<60","0.14","390","38","20000","18","<10","13","-234","0.51","<5","44","11","25","15000","0.1","10","9","27","13","19","7","19","6.9","<5","10","18000","<50","<50"
"Eastern Buffer","ES2","2021-06-12","1","Bulk Sample","93","39","7.1","5.2","52","18","N/A","N/A","<0.1","0.9","<0","35","17","48","22","<60","0.09","570","34","30000","16","<10","30","-162","0.49","14","25","18","38","11000","<0.1","17","11","23","14","26","18","57","8.2","<5","1.8","36000","<50","<50"
"Eastern Buffer","ES2","2021-08-07","1","Bulk Sample","94","43","6.1","14","55","18","N/A","N/A","<0.1","0.7","0","6","<5","97","15","<60","0.05","440","24","21000","8","<10","6","-103","0.61","13","27","<5","26","9100","<0.1","24","4","10","6","8","3","41","6.3","<5","7","29000","<50","<50"
"Eastern Buffer","ES2","2022-05-14","1","Bulk Sample","140","16","6.5","64","48","18","200","410","0.1","0.5","0","200","160","95","20","<60","0.1","520","39","29000","49","21","150","-112","0.47","<5","41","52","34","11000","<0.1","22","31","52","43","71","53","49","7.1","24","8.9","29000","<50","<50"
"Eastern Buffer","ES2","2022-08-06","1","Bulk Sample","140","69","7.1","15","46","18","200","460","<0.1","0.7","1","22","<5","87","27","<60","0.13","650","46","34000","19","<10","15","-243","0.41","7","54","11","50","12000","0.1","30","10","25","13","20","9","76","9.7","<5","10","52000","<50","<50"
"Eastern Buffer","ES2","2023-01-20","1","Bulk Sample","120","45","8","27","42","18","200","490","<0.1","0.7","<0","19","<5","82","23","130","0.09","660","38","32000","21","<10","14","-110","0.42","28","27","13","41","11000","<0.1","23","9","23","14","20","10","66","7.8","<5","5.4","43000","<50","<50"
"Eastern Buffer","ES2","2023-07-27","1","Bulk Sample","220","59","5.1","34","47","18","200","480","<0.1","0.9","1","100","92","81","25","<60","0.13","610","52","34000","31","11","81","-240","0.44","<5","89","30","50","11000","0.2","21","19","57","24","41","29","93","11","12","7.3","57000","<50","<50"
"Eastern Buffer","ES2","2024-02-08","1","Bulk Sample","100","41","7.4","26","43","18","210","460","<0.1","0.7","0","11","6","88","21","<60","0.1","470","33","29000","10","<10","9","-114","0.4","<5","30","5","38","13000","<0.1","31","4","11","6","8","5","110","5","<5","5.5","55000","<50","<50"
"Eastern Buffer","ES2","2024-10-05","1","Bulk Sample","99","33","7.2","20","46","18","240","480","0.1","0.7","1","30","6","79","19","<60","0.07","470","36","25000","19","<10","20","-134","0.41","17","37","16","33","15000","<0.1","12","11","27","20","23","13","36","6.8","<5","2.3","33000","<50","<50"
"Eastern Buffer","ES3","2012-01-09","1","Bulk Sample","340","32","7.8","250","37","36","200","560","0.2","0.9","17","63","15","92","26","<60","0.43","430","90","30000","78","<10","66","-280","0.37","15","230","30","84","19000","0.5","27","36","110","81","75","43","42","9.1","<5","3.6","32000","<50","<50"
"Eastern Buffer","ES3","2012-07-06","1","Bulk Sample","290","32","8","170","35","29","210","630","0.1","0.9","10","61","31","91","23","<60","0.39","470","92","31000","78","<10","78","-280","0.36","13","220","29","78","16000","0.5","29","33","100","79","72","42","44","9.7","7","5.4","26000","<50","<50"
"Eastern Buffer","ES3","2013-01-11","1","Bulk Sample","420","33","8.1","340","36","48","230","660","0.2","1","17","170","84","96","28","81","0.53","440","100","31000","92","<10","110","-252","0.36","19","250","47","88","20000","0.7","32","51","200","110","110","61","48","9.7","<5","9.9","29000","52","<50"
"Eastern Buffer","ES3","2013-07-25","1","Bulk Sample","320","37","8.6","330","35","23","200","560","0.2","0.8","11","57","36","83","27","<60","0.43","520","88","34000","49","11","47","-365","0.34","<5","260","13","80","19000","0.6","36","28","83","40","66","19","53","10","<5","0.92","30000","<50","<50"
"Eastern Buffer","ES3","2014-03-03","1","Bulk Sample","250","31","7.2","63","44","35","240","520","0.2","0.9","7","15","36","84","22","150","0.39","430","77","29000","49","13","44","-303","0.43","<5","270","16","86","21000","0.5","28","26","59","46","33","22","54","9.7","<5","2.7","31000","<50","<50"
"Eastern Buffer","ES3","2014-08-25","1","Bulk Sample","240","27","8.6","66","40","34","220","600","<0.1","0.9","9","79","33","89","23","<60","0.28","400","61","27000","63","<10","65","-389","0.39","10","200","35","70","23000","0.3","35","39","93","65","94","40","30","7.9","<5","0.28","24000","<50","<50"
"Eastern Buffer","ES3","2015-01-02","1","Bulk Sample","460","31","8.7","190","40","51","230","580","0.2","1","23","97","68","90","30","76","0.45","410","96","28000","59","23","80","-372","0.35","8","280","28","100","21000","0.8","29","38","110","61","110","46","46","10","13","0.56","27000","<50","<50"
