"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"Deep Bay","DS1","1995-01-19","1","Bulk Sample","140","N/A","5.1","170","53","N/A","390","460","<0.1","0.4","N/A","N/A","N/A","41","17","N/A","0.16","280","54","24000","N/A","N/A","N/A","-71","0.56","N/A","49","N/A","31","16000","0.4","11","N/A","N/A","N/A","N/A","N/A","N/A","9.2","N/A","140","14000","N/A","N/A"
"Deep Bay","DS1","1995-07-17","1","Bulk Sample","190","30","5.1","1200","55","N/A","360","780","<0.1","0.5","N/A","N/A","N/A","63","21","N/A","0.12","250","49","21000","N/A","N/A","N/A","-110","0.58","N/A","53","N/A","28","19000","0.4","6","N/A","N/A","N/A","N/A","N/A","76","8.2","N/A","44","11000","N/A","N/A"
"Deep Bay","DS1","1996-01-11","1","Bulk Sample","150","27","5.6","270","59","N/A","280","1100","<0.1","0.5","N/A","N/A","N/A","47","17","N/A","0.11","260","47","22000","N/A","N/A","N/A","-265","0.56","N/A","43","N/A","26","17000","0.3","8","N/A","N/A","N/A","N/A","N/A","52","8.7","N/A","30","12000","N/A","N/A"
"Deep Bay","DS1","1996-07-10","1","Bulk Sample","120","26","7.2","7","44","N/A","150","500","<0.1","0.4","N/A","N/A","N/A","70","19","N/A","0.23","520","42","32000","N/A","N/A","N/A","-324","0.41","N/A","23","N/A","31","18000","0.2","15","N/A","N/A","N/A","N/A","N/A","41","11","N/A","17","24000","N/A","N/A"
"Deep Bay","DS1","1997-01-08","1","Bulk Sample","300","38","8.1","430","43","N/A","440","460","<0.1","0.7","1","10","10","91","29","N/A","0.17","310","77","30000","N/A","<10","20","-278","0.43","N/A","85","38","49","22000","0.5","13","4","9","10","6","N/A","85","14","<5","28","32000","N/A","N/A"
"Deep Bay","DS1","1997-07-07","1","Bulk Sample","310","44","9.5","820","34","N/A","460","580","<0.1","0.7","1","21","19","96","33","N/A","0.13","410","70","37000","N/A","68","21","-343","0.3","N/A","91","<5","57","23000","0.5","20","2","4","3","3","N/A","57","14","38","49","33000","N/A","N/A"
"Deep Bay","DS1","1998-01-12","1","Bulk Sample","270","43","9","480","38","N/A","440","570","<0.1","0.6","1","10","<5","94","28","N/A","0.18","450","68","38000","<5","<10","11","-20","0.37","<5","84","<5","47","19000","0.5","18","3","7","8","5","<10","59","16","<5","58","33000","<250","<100"
"Deep Bay","DS1","1998-08-26","1","Bulk Sample","300","47","7.8","420","49","N/A","470","440","<0.1","0.7","1","32","<5","75","41","N/A","0.18","390","71","36000","6","<10","11","-341","0.27","<5","87","22","60","27000","0.5","19","4","10","11","7","<10","51","16","9","34","33000","<250","<100"
"Deep Bay","DS1","1999-01-06","1","Seived Sample (<63 micrometer)","180","45","8","100","40","<5","190","280","<0.1","0.5","<1","<5"," 7","62","24","N/A","0.12","480","65","34000","<5","<10"," 7","-94","0.38","<5","57"," 6","42","19000","0.1","18"," 2"," 4"," 4"," 3","<3","61","13","<5","5.2","38000","<50","<50"
"Deep Bay","DS1","1999-01-06","1","Bulk Sample","120","29","6","170","52","<5","180","280","<0.1","0.5","<1","<5","<5","62","17","N/A","0.09","360","43","24000","<5","<10"," 9","-94","0.5","<5","31"," 6","30","20000","<0.1","14"," 1"," 4"," 4"," 2","<3","44","10","<5","3.3","25000","<50","<50"
